GroupId	Words
1	11,53,78,146,239,438,504,660,671,688,731,747,752,754,764,801,835,982
2	8,17,116,130,238,285,458,527,550,559,614,715,746
3	42,45,49,124,156,213,230,296,333,341,365,367,444,544,546,578,580,590,599,645,665,789,844,949
4	205,232,291,305,503,520
5	21,57,82,103,135,140,162,170,258,299,313,316,380,412,425,563
6	7,15,22,28,44,106,112,122,173,190,199,206,243,277,298,337,351,472,476,521,557,564,831,842,868,899,961,
7	41,188,378,441,790
8	74,175,195,260,271,307,311,335,386,473,531,562,612,626,664,694,713,725,733,781,803,853,858,863,890,900,904,915,922,941,966,976
9	2,23,29,47,59,69,89,90,105,108,133,152,174,181,192,217,221,361,409,447,529,548,568,775,916
10	62,72,77,142,147,224,268,339,348,375,440,524,535,619,632,680,682,705,762,799,813,814,878,887,896
11	34,115,155,198,246,336,347,479,482,509,530,551,565,602,617,703,750,770,837
12	14,27,79,443,595,667
13	4,5,6,9,12,16,20,39,40,43,109,111,129,138,381,392,539,815,821,888,892,974
14	319,393,445,467,670,875,994
15	33,136,141,160,245,287,297,300,312,315,328,403,407,450,481,575,600,603,742,795,802
16	10,31,32,51,60,83,88,127,183,210,290,439,463,541,583
17	184,329,460,493,631,758,759,769,840,872,874,889
18	26,56,58,419
19	35,37,91,98
20	125,209
21	104,597
22	113,159